"""circle""","""can you repeat that"""
"""swipe""","""no thank you I dont want that"""
"""screenTap""","""I want that one right there"""
"""one""","""one"""
"""two""","""two"""
"""three""","""three"""
"""four""","""four"""
"""five""","""five"""
"""six""","""six"""
"""seven""","""seven"""
"""eight""","""eight """
"""nine""","""nine"""
"""ten""","""ten fuck yes I can count"""
"""pinch""","""just a little bit"""
"""grab""","""can I have the check please"""
"""fingerWake""","""can you please help me"""
